account_id,month,mrr,plan,seats,is_active,mrr_new,mrr_expansion,mrr_contraction,mrr_churn
ACC-00001,2024-10-01,113.94,Basic,1,True,113.94,0.0,0.0,0.0
ACC-00001,2024-11-01,113.94,Basic,1,True,0.0,0.0,0.0,0.0
ACC-00001,2024-12-01,113.94,Basic,1,True,0.0,0.0,0.0,0.0
ACC-00002,2024-07-01,109.05,Basic,1,True,109.05,0.0,0.0,0.0
ACC-00002,2024-08-01,0.0,Basic,0,False,0.0,0.0,0.0,109.05
ACC-00003,2023-01-01,71.86,Basic,5,True,71.86,0.0,0.0,0.0
ACC-00003,2023-02-01,71.86,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00003,2023-03-01,71.86,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00003,2023-04-01,71.86,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00003,2023-05-01,71.86,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00003,2023-06-01,71.86,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00003,2023-07-01,71.86,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00003,2023-08-01,82.06,Basic,6,True,0.0,10.2,0.0,0.0
ACC-00003,2023-09-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2023-10-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2023-11-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2023-12-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2024-01-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2024-02-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2024-03-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2024-04-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2024-05-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2024-06-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2024-07-01,82.06,Basic,6,True,0.0,0.0,0.0,0.0
ACC-00003,2024-08-01,91.34,Basic,8,True,0.0,9.28,0.0,0.0
ACC-00003,2024-09-01,91.34,Basic,8,True,0.0,0.0,0.0,0.0
ACC-00003,2024-10-01,91.34,Basic,8,True,0.0,0.0,0.0,0.0
ACC-00003,2024-11-01,91.34,Basic,8,True,0.0,0.0,0.0,0.0
ACC-00003,2024-12-01,91.34,Basic,8,True,0.0,0.0,0.0,0.0
ACC-00004,2023-10-01,498.81,Pro,16,True,498.81,0.0,0.0,0.0
ACC-00004,2023-11-01,498.81,Pro,16,True,0.0,0.0,0.0,0.0
ACC-00004,2023-12-01,498.81,Pro,16,True,0.0,0.0,0.0,0.0
ACC-00004,2024-01-01,0.0,Pro,0,False,0.0,0.0,0.0,498.81
ACC-00005,2023-06-01,60.96,Basic,2,True,60.96,0.0,0.0,0.0
ACC-00005,2023-07-01,60.96,Basic,2,True,0.0,0.0,0.0,0.0
ACC-00005,2023-08-01,60.96,Basic,2,True,0.0,0.0,0.0,0.0
ACC-00005,2023-09-01,53.52,Basic,1,True,0.0,0.0,7.44,0.0
ACC-00005,2023-10-01,53.52,Basic,1,True,0.0,0.0,0.0,0.0
ACC-00005,2023-11-01,63.93,Basic,4,True,0.0,10.41,0.0,0.0
ACC-00005,2023-12-01,63.93,Basic,4,True,0.0,0.0,0.0,0.0
ACC-00005,2024-01-01,63.93,Basic,4,True,0.0,0.0,0.0,0.0
ACC-00005,2024-02-01,63.93,Basic,4,True,0.0,0.0,0.0,0.0
ACC-00005,2024-03-01,63.93,Basic,4,True,0.0,0.0,0.0,0.0
ACC-00005,2024-04-01,71.27,Basic,5,True,0.0,7.34,0.0,0.0
ACC-00005,2024-05-01,71.27,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00005,2024-06-01,71.27,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00005,2024-07-01,71.27,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00005,2024-08-01,71.27,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00005,2024-09-01,71.27,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00005,2024-10-01,71.27,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00005,2024-11-01,71.27,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00005,2024-12-01,71.27,Basic,5,True,0.0,0.0,0.0,0.0
ACC-00006,2023-12-01,468.67,Pro,14,True,468.67,0.0,0.0,0.0
ACC-00006,2024-01-01,468.67,Pro,14,True,0.0,0.0,0.0,0.0
ACC-00006,2024-02-01,468.67,Pro,14,True,0.0,0.0,0.0,0.0
ACC-00006,2024-03-01,468.67,Pro,14,True,0.0,0.0,0.0,0.0
